season,hometeam,winner_home,winner_away
2017,49ers,3,5
2017,Bears,3,5
2017,Bengals,4,4
2017,Bills,6,2
2017,Broncos,3,4
2017,Browns,0,8
2017,Buccaneers,4,4
2017,Cardinals,5,3
2017,Chargers,5,3
2017,Chiefs,6,2
2017,Colts,3,5
2017,Cowboys,3,5
2017,Dolphins,4,4
2017,Eagles,7,1
2017,Falcons,5,3
2017,Giants,2,6
2017,Jaguars,6,2
2017,Jets,4,4
2017,Lions,4,4
2017,Packers,4,4
2017,Panthers,6,2
2017,Patriots,6,2
2017,Raiders,4,4
2017,Rams,4,4
2017,Ravens,5,3
2017,Saints,7,1
2017,Seahawks,4,4
2017,Steelers,6,2
2017,Texans,3,5
2017,Titans,6,2
2017,Vikings,6,1
2017,Washington,5,3
2018,49ers,4,4
2018,Bears,7,1
2018,Bengals,4,4
2018,Bills,4,4
2018,Broncos,3,5
2018,Browns,5,2
2018,Buccaneers,4,4
2018,Cardinals,1,7
2018,Chargers,5,3
2018,Chiefs,7,1
2018,Colts,6,2
2018,Cowboys,7,1
2018,Dolphins,6,2
2018,Eagles,5,3
2018,Falcons,4,4
2018,Giants,2,6
2018,Jaguars,3,5
2018,Jets,2,6
2018,Lions,3,5
2018,Packers,5,2
2018,Panthers,5,3
2018,Patriots,8,0
2018,Raiders,3,5
2018,Rams,7,1
2018,Ravens,6,2
2018,Saints,6,2
2018,Seahawks,6,2
2018,Steelers,5,3
2018,Texans,6,2
2018,Titans,6,2
2018,Vikings,5,3
2018,Washington,3,5
2019,49ers,6,2
2019,Bears,4,4
2019,Bengals,2,6
2019,Bills,4,4
2019,Broncos,5,3
2019,Browns,4,4
2019,Buccaneers,2,6
2019,Cardinals,2,5
2019,Chargers,2,6
2019,Chiefs,5,3
2019,Colts,5,3
2019,Cowboys,5,3
2019,Dolphins,3,5
2019,Eagles,5,3
2019,Falcons,3,5
2019,Giants,2,6
2019,Jaguars,3,5
2019,Jets,5,3
2019,Lions,2,6
2019,Packers,7,1
2019,Panthers,2,6
2019,Patriots,6,2
2019,Raiders,5,3
2019,Rams,5,3
2019,Ravens,7,1
2019,Saints,6,2
2019,Seahawks,4,4
2019,Steelers,5,3
2019,Texans,5,3
2019,Titans,4,4
2019,Vikings,6,2
2019,Washington,1,7
2020,49ers,1,7
2020,Bears,3,5
2020,Bengals,3,5
2020,Bills,7,1
2020,Broncos,2,6
2020,Browns,6,2
2020,Buccaneers,5,3
2020,Cardinals,4,4
2020,Chargers,4,4
2020,Chiefs,6,2
2020,Colts,6,2
2020,Cowboys,4,4
2020,Dolphins,5,3
2020,Eagles,3,4
2020,Falcons,2,6
2020,Giants,3,5
2020,Jaguars,1,7
2020,Jets,1,7
2020,Lions,1,7
2020,Packers,7,1
2020,Panthers,2,6
2020,Patriots,5,3
2020,Raiders,2,6
2020,Rams,6,2
2020,Ravens,5,3
2020,Saints,6,2
2020,Seahawks,7,1
2020,Steelers,7,1
2020,Texans,2,6
2020,Titans,5,3
2020,Vikings,3,5
2020,Washington,3,5
2021,49ers,4,4
2021,Bears,3,5
2021,Bengals,5,4
2021,Bills,6,3
2021,Broncos,4,5
2021,Browns,6,3
2021,Buccaneers,7,1
2021,Cardinals,3,5
2021,Chargers,5,4
2021,Chiefs,7,2
2021,Colts,4,5
2021,Cowboys,5,3
2021,Dolphins,6,3
2021,Eagles,3,5
2021,Falcons,2,6
2021,Giants,3,5
2021,Jaguars,3,6
2021,Jets,3,6
2021,Lions,3,5
2021,Packers,8,0
2021,Panthers,2,6
2021,Patriots,4,5
2021,Raiders,5,4
2021,Rams,5,3
2021,Ravens,5,4
2021,Saints,3,5
2021,Seahawks,3,5
2021,Steelers,6,2
2021,Texans,2,7
2021,Titans,7,2
2021,Vikings,5,3
2021,Washington,3,5
